,question,answer,img_id,type
544,hình có mấy con ngựa vằn,sáu,600544,1
545,hình có mấy con gà,bảy,600545,1
546,có bao nhiêu con cừu,bảy,600546,1
547,có bao nhiêu con chim,một,600547,1
548,có bao nhiêu cái cây trong hình,ba,600548,1
549,có bao nhiêu con gà,ba,600549,1
550,trong hình có bao nhiêu người,một,600550,1
551,có bao nhiêu điện thoại trong hình,hai,600551,1
552,hình có mấy cốc,một,600552,1
553,trong hình có bao nhiêu con gà,hai,600553,1
554,có bao nhiêu cái ghế trong hình,ba,600554,1
555,có bao nhiêu điện thoại trong hình,tám,600555,1
556,có bao nhiêu cốc trong hình,tám,600556,1
557,có bao nhiêu cốc,sáu,600557,1
558,số lượng cốc là bao nhiêu,hai,600558,1
559,số lượng tòa nhà là bao nhiêu,năm,600559,1
560,hình có mấy con ngựa vằn,một,600560,1
561,có bao nhiêu con chó trong hình,năm,600561,1
562,số lượng điện thoại là bao nhiêu,ba,600562,1
563,hình có mấy con chim,sáu,600563,1
564,trong hình có bao nhiêu con gà,bốn,600564,1
565,trong hình có bao nhiêu con ngựa vằn,tám,600565,1
566,có bao nhiêu cái cây,bốn,600566,1
567,có bao nhiêu con chim trong hình,bảy,600567,1
568,có bao nhiêu điện thoại,bốn,600568,1
569,hình có mấy con chó,hai,600569,1
570,hình có mấy cái bàn,hai,600570,1
571,hình có mấy cốc,một,600571,1
572,hình có mấy con bò,năm,600572,1
573,hình có mấy con hươu cao cổ,sáu,600573,1
574,có bao nhiêu con chó trong hình,sáu,600574,1
575,hình có mấy con chó,sáu,600575,1
576,số lượng tòa nhà là bao nhiêu,một,600576,1
577,hình có mấy điện thoại,ba,600577,1
578,số lượng con voi là bao nhiêu,sáu,600578,1
579,số lượng cốc là bao nhiêu,bảy,600579,1
580,có bao nhiêu con chim trong hình,hai,600580,1
581,hình có mấy con chim,năm,600581,1
582,số lượng chai là bao nhiêu,tám,600582,1
583,hình có mấy con ngựa vằn,năm,600583,1
584,số lượng cái cây là bao nhiêu,ba,600584,1
585,số lượng máy tính xách tay là bao nhiêu,tám,600585,1
586,trong hình có bao nhiêu cốc,hai,600586,1
587,số lượng con chim là bao nhiêu,sáu,600587,1
588,số lượng cái cây là bao nhiêu,năm,600588,1
589,số lượng máy tính xách tay là bao nhiêu,bốn,600589,1
590,trong hình có bao nhiêu cái ghế,bốn,600590,1
591,có bao nhiêu máy tính xách tay trong hình,bảy,600591,1
592,hình có mấy xe ô tô,ba,600592,1
593,có bao nhiêu con bò,hai,600593,1
594,có bao nhiêu điện thoại,một,600594,1
595,có bao nhiêu con chim trong hình,bốn,600595,1
596,trong hình có bao nhiêu con bò,hai,600596,1
597,số lượng con gà là bao nhiêu,năm,600597,1
598,có bao nhiêu điện thoại,tám,600598,1
599,có bao nhiêu con chim trong hình,bốn,600599,1
600,số lượng cốc là bao nhiêu,một,600600,1
601,có bao nhiêu con ngựa vằn,sáu,600601,1
602,có bao nhiêu cái bàn,ba,600602,1
603,số lượng chai là bao nhiêu,sáu,600603,1
604,số lượng con chim là bao nhiêu,tám,600604,1
605,hình có mấy con chó,bảy,600605,1
606,hình có mấy con mèo,ba,600606,1
607,trong hình có bao nhiêu quyển sách,bốn,600607,1
608,có bao nhiêu cái bàn,hai,600608,1
609,có bao nhiêu máy tính xách tay,hai,600609,1
610,hình có mấy cái ghế,một,600610,1
611,có bao nhiêu chai trong hình,bốn,600611,1
612,số lượng máy tính xách tay là bao nhiêu,bảy,600612,1
613,số lượng cái ghế là bao nhiêu,tám,600613,1
614,hình có mấy tòa nhà,ba,600614,1
615,có bao nhiêu cái bàn,bảy,600615,1
616,số lượng con ngựa vằn là bao nhiêu,năm,600616,1
617,trong hình có bao nhiêu cái bàn,một,600617,1
618,có bao nhiêu con cừu,sáu,600618,1
619,có bao nhiêu người trong hình,ba,600619,1
620,hình có mấy người,ba,600620,1
621,có bao nhiêu cái ghế trong hình,sáu,600621,1
622,số lượng con ngựa là bao nhiêu,bảy,600622,1
623,hình có mấy máy tính xách tay,bảy,600623,1
624,trong hình có bao nhiêu con voi,ba,600624,1
625,có bao nhiêu con hươu cao cổ trong hình,bốn,600625,1
626,số lượng máy tính xách tay là bao nhiêu,bảy,600626,1
627,có bao nhiêu chai,năm,600627,1
628,trong hình có bao nhiêu con chim,bảy,600628,1
629,có bao nhiêu tòa nhà,sáu,600629,1
630,trong hình có bao nhiêu con gà,năm,600630,1
631,hình có mấy con chim,sáu,600631,1
632,có bao nhiêu con mèo,hai,600632,1
633,số lượng điện thoại là bao nhiêu,bốn,600633,1
634,có bao nhiêu chai,ba,600634,1
635,số lượng cốc là bao nhiêu,sáu,600635,1
636,có bao nhiêu xe ô tô,một,600636,1
637,hình có mấy điện thoại,hai,600637,1
638,có bao nhiêu cái cây trong hình,bảy,600638,1
639,có bao nhiêu con voi,năm,600639,1
640,trong hình có bao nhiêu quyển sách,năm,600640,1
641,có bao nhiêu xe ô tô trong hình,bảy,600641,1
642,trong hình có bao nhiêu cái cây,một,600642,1
643,hình có mấy cái cây,sáu,600643,1
644,có bao nhiêu con ngựa,năm,600644,1
645,số lượng cái bàn là bao nhiêu,bảy,600645,1
646,có bao nhiêu cái ghế,ba,600646,1
647,số lượng con cừu là bao nhiêu,bốn,600647,1
648,có bao nhiêu con chim trong hình,sáu,600648,1
649,trong hình có bao nhiêu con hươu cao cổ,tám,600649,1
650,có bao nhiêu cái cây trong hình,một,600650,1
651,hình có mấy cốc,một,600651,1
652,trong hình có bao nhiêu xe ô tô,bảy,600652,1
653,có bao nhiêu tòa nhà trong hình,năm,600653,1
654,hình có mấy con ngựa vằn,sáu,600654,1
655,số lượng con gà là bao nhiêu,một,600655,1
656,có bao nhiêu con voi,hai,600656,1
657,hình có mấy chai,sáu,600657,1
658,hình có mấy cái bàn,bảy,600658,1
659,có bao nhiêu điện thoại trong hình,một,600659,1
660,hình có mấy cái bàn,năm,600660,1
661,có bao nhiêu điện thoại,một,600661,1
662,có bao nhiêu xe ô tô,sáu,600662,1
663,số lượng cái cây là bao nhiêu,ba,600663,1
664,có bao nhiêu chai,sáu,600664,1
665,trong hình có bao nhiêu cái ghế,năm,600665,1
666,có bao nhiêu xe ô tô,bốn,600666,1
667,có bao nhiêu con cừu trong hình,một,600667,1
668,có bao nhiêu cốc,tám,600668,1
669,trong hình có bao nhiêu điện thoại,một,600669,1
670,hình có mấy cốc,một,600670,1
671,trong hình có bao nhiêu cái bàn,sáu,600671,1
672,trong hình có bao nhiêu xe ô tô,tám,600672,1
673,có bao nhiêu con voi,hai,600673,1
674,số lượng cái ghế là bao nhiêu,bốn,600674,1
675,trong hình có bao nhiêu chai,một,600675,1
676,hình có mấy máy tính xách tay,hai,600676,1
677,trong hình có bao nhiêu cái cây,bốn,600677,1
678,số lượng cốc là bao nhiêu,sáu,600678,1
679,số lượng xe ô tô là bao nhiêu,năm,600679,1
680,có bao nhiêu con chim trong hình,hai,600680,1
681,số lượng cái cây là bao nhiêu,ba,600681,1
682,hình có mấy con gà,năm,600682,1
683,có bao nhiêu quyển sách trong hình,một,600683,1
684,số lượng cái ghế là bao nhiêu,bốn,600684,1
685,có bao nhiêu điện thoại,năm,600685,1
686,trong hình có bao nhiêu điện thoại,bảy,600686,1
687,hình có mấy chai,năm,600687,1
688,số lượng xe ô tô là bao nhiêu,bảy,600688,1
689,số lượng con mèo là bao nhiêu,một,600689,1
690,số lượng điện thoại là bao nhiêu,sáu,600690,1
691,số lượng cái ghế là bao nhiêu,hai,600691,1
692,có bao nhiêu máy tính xách tay trong hình,ba,600692,1
693,hình có mấy máy tính xách tay,sáu,600693,1
694,có bao nhiêu xe ô tô,năm,600694,1
695,trong hình có bao nhiêu quyển sách,hai,600695,1
696,có bao nhiêu xe ô tô trong hình,năm,600696,1
697,có bao nhiêu người trong hình,tám,600697,1
698,hình có mấy con chim,một,600698,1
699,hình có mấy con ngựa,sáu,600699,1
700,hình có mấy máy tính xách tay,bảy,600700,1
701,số lượng cốc là bao nhiêu,bốn,600701,1
702,trong hình có bao nhiêu con chim,bảy,600702,1
703,số lượng máy tính xách tay là bao nhiêu,bảy,600703,1
704,trong hình có bao nhiêu con ngựa vằn,ba,600704,1
705,số lượng con ngựa vằn là bao nhiêu,sáu,600705,1
706,có bao nhiêu con chim,hai,600706,1
707,có bao nhiêu con hươu cao cổ,bốn,600707,1
708,hình có mấy điện thoại,một,600708,1
709,có bao nhiêu tòa nhà,tám,600709,1
710,trong hình có bao nhiêu con ngựa,sáu,600710,1
711,có bao nhiêu con cừu,năm,600711,1
712,trong hình có bao nhiêu con chó,ba,600712,1
713,số lượng con chim là bao nhiêu,sáu,600713,1
714,số lượng máy tính xách tay là bao nhiêu,sáu,600714,1
715,số lượng chai là bao nhiêu,bảy,600715,1
716,có bao nhiêu quyển sách trong hình,sáu,600716,1
717,trong hình có bao nhiêu xe ô tô,ba,600717,1
718,hình có mấy điện thoại,bốn,600718,1
719,hình có mấy con bò,một,600719,1
720,có bao nhiêu máy tính xách tay trong hình,bảy,600720,1
721,có bao nhiêu máy tính xách tay,bảy,600721,1
722,số lượng cái cây là bao nhiêu,một,600722,1
723,hình có mấy con hươu cao cổ,ba,600723,1
724,hình có mấy con chim,bảy,600724,1
725,hình có mấy điện thoại,hai,600725,1
726,có bao nhiêu người trong hình,hai,600726,1
727,số lượng chai là bao nhiêu,sáu,600727,1
728,trong hình có bao nhiêu chai,ba,600728,1
729,hình có mấy con bò,năm,600729,1
730,số lượng xe ô tô là bao nhiêu,năm,600730,1
731,có bao nhiêu máy tính xách tay,bảy,600731,1
732,có bao nhiêu con chim trong hình,bảy,600732,1
733,trong hình có bao nhiêu con chim,ba,600733,1
734,hình có mấy tòa nhà,năm,600734,1
735,có bao nhiêu chai,bảy,600735,1
736,có bao nhiêu điện thoại,một,600736,1
737,hình có mấy con chim,ba,600737,1
738,có bao nhiêu con chim trong hình,năm,600738,1
739,số lượng tòa nhà là bao nhiêu,bảy,600739,1
740,trong hình có bao nhiêu cái ghế,bảy,600740,1
741,có bao nhiêu máy tính xách tay trong hình,sáu,600741,1
742,trong hình có bao nhiêu người,bốn,600742,1
743,trong hình có bao nhiêu cái bàn,sáu,600743,1
744,hình có mấy điện thoại,bốn,600744,1
745,trong hình có bao nhiêu cái bàn,một,600745,1
746,trong hình có bao nhiêu cái bàn,bảy,600746,1
747,có bao nhiêu con chim,bốn,600747,1
748,hình có mấy máy tính xách tay,bốn,600748,1
749,hình có mấy con bò,một,600749,1
750,hình có mấy chai,bốn,600750,1
751,có bao nhiêu cái bàn,hai,600751,1
752,hình có mấy cốc,ba,600752,1
753,số lượng con chim là bao nhiêu,sáu,600753,1
754,hình có mấy con chim,bảy,600754,1
755,hình có mấy chai,sáu,600755,1
756,hình có mấy xe ô tô,tám,600756,1
757,hình có mấy con chó,bốn,600757,1
758,trong hình có bao nhiêu xe ô tô,năm,600758,1
759,có bao nhiêu máy tính xách tay,sáu,600759,1
760,có bao nhiêu cốc,ba,600760,1
761,số lượng con chim là bao nhiêu,sáu,600761,1
762,hình có mấy con chim,hai,600762,1
763,trong hình có bao nhiêu con chim,tám,600763,1
764,số lượng cái cây là bao nhiêu,hai,600764,1
765,trong hình có bao nhiêu cái ghế,ba,600765,1
766,có bao nhiêu cốc trong hình,một,600766,1
767,hình có mấy máy tính xách tay,ba,600767,1
768,có bao nhiêu con chim,hai,600768,1
769,hình có mấy con gà,ba,600769,1
770,có bao nhiêu con chim trong hình,sáu,600770,1
771,có bao nhiêu người trong hình,hai,600771,1
772,hình có mấy cái bàn,năm,600772,1
773,có bao nhiêu người,tám,600773,1
774,có bao nhiêu xe ô tô,một,600774,1
775,có bao nhiêu tòa nhà trong hình,ba,600775,1
776,trong hình có bao nhiêu cái ghế,ba,600776,1
777,hình có mấy con mèo,bốn,600777,1
778,trong hình có bao nhiêu cái bàn,một,600778,1
779,trong hình có bao nhiêu cái cây,ba,600779,1
780,có bao nhiêu xe ô tô,một,600780,1
781,có bao nhiêu cái ghế trong hình,sáu,600781,1
782,trong hình có bao nhiêu chai,ba,600782,1
783,số lượng xe ô tô là bao nhiêu,bốn,600783,1
784,hình có mấy xe ô tô,ba,600784,1
785,số lượng cốc là bao nhiêu,sáu,600785,1
786,trong hình có bao nhiêu máy tính xách tay,tám,600786,1
787,hình có mấy cái ghế,bảy,600787,1
788,có bao nhiêu cái bàn trong hình,năm,600788,1
789,trong hình có bao nhiêu máy tính xách tay,hai,600789,1
790,trong hình có bao nhiêu xe ô tô,ba,600790,1
791,số lượng máy tính xách tay là bao nhiêu,một,600791,1
792,số lượng con chim là bao nhiêu,bảy,600792,1
793,có bao nhiêu tòa nhà trong hình,năm,600793,1
794,hình có mấy cốc,bảy,600794,1
795,có bao nhiêu cái cây,hai,600795,1
796,trong hình có bao nhiêu cái bàn,ba,600796,1
797,trong hình có bao nhiêu chai,tám,600797,1
798,số lượng người là bao nhiêu,sáu,600798,1
799,trong hình có bao nhiêu cái ghế,ba,600799,1
800,số lượng con gà là bao nhiêu,ba,600800,1
801,hình có mấy xe ô tô,năm,600801,1
802,trong hình có bao nhiêu điện thoại,bốn,600802,1
803,có bao nhiêu con ngựa trong hình,một,600803,1
804,có bao nhiêu cái bàn trong hình,một,600804,1
805,hình có mấy cái cây,ba,600805,1
806,trong hình có bao nhiêu con bò,tám,600806,1
807,số lượng con bò là bao nhiêu,bảy,600807,1
808,hình có mấy cốc,ba,600808,1
809,trong hình có bao nhiêu quyển sách,năm,600809,1
810,có bao nhiêu cái ghế trong hình,tám,600810,1
811,số lượng điện thoại là bao nhiêu,năm,600811,1
812,có bao nhiêu xe ô tô,bốn,600812,1
813,có bao nhiêu cái ghế,một,600813,1
814,có bao nhiêu con voi trong hình,bốn,600814,1
815,có bao nhiêu con ngựa vằn trong hình,bảy,600815,1
816,trong hình có bao nhiêu điện thoại,một,600816,1
817,trong hình có bao nhiêu con hươu cao cổ,tám,600817,1
818,số lượng con chim là bao nhiêu,năm,600818,1
819,hình có mấy con mèo,ba,600819,1
820,số lượng con voi là bao nhiêu,sáu,600820,1
821,có bao nhiêu cốc,một,600821,1
822,số lượng điện thoại là bao nhiêu,tám,600822,1
823,số lượng cái bàn là bao nhiêu,một,600823,1
824,có bao nhiêu cái ghế,ba,600824,1
825,trong hình có bao nhiêu cái bàn,tám,600825,1
826,có bao nhiêu cốc trong hình,bốn,600826,1
827,có bao nhiêu cái cây,hai,600827,1
828,số lượng máy tính xách tay là bao nhiêu,hai,600828,1
829,hình có mấy tòa nhà,năm,600829,1
830,hình có mấy điện thoại,sáu,600830,1
831,có bao nhiêu xe ô tô trong hình,hai,600831,1
832,số lượng xe ô tô là bao nhiêu,tám,600832,1
833,số lượng quyển sách là bao nhiêu,tám,600833,1
834,số lượng con bò là bao nhiêu,năm,600834,1
835,hình có mấy cái cây,sáu,600835,1
836,số lượng quyển sách là bao nhiêu,sáu,600836,1
837,trong hình có bao nhiêu cốc,bảy,600837,1
838,có bao nhiêu con mèo trong hình,sáu,600838,1
839,số lượng con mèo là bao nhiêu,tám,600839,1
840,có bao nhiêu con hươu cao cổ trong hình,ba,600840,1
841,có bao nhiêu xe ô tô,bốn,600841,1
842,hình có mấy cốc,tám,600842,1
843,có bao nhiêu cái cây trong hình,bảy,600843,1
844,số lượng chai là bao nhiêu,hai,600844,1
845,có bao nhiêu xe ô tô trong hình,bốn,600845,1
846,số lượng cái bàn là bao nhiêu,bảy,600846,1
847,hình có mấy quyển sách,bốn,600847,1
848,có bao nhiêu tòa nhà trong hình,sáu,600848,1
849,trong hình có bao nhiêu cái cây,ba,600849,1
850,có bao nhiêu máy tính xách tay trong hình,tám,600850,1
851,hình có mấy con ngựa vằn,tám,600851,1
852,hình có mấy con cừu,sáu,600852,1
853,trong hình có bao nhiêu con chó,hai,600853,1
854,hình có mấy máy tính xách tay,hai,600854,1
855,số lượng con bò là bao nhiêu,tám,600855,1
856,hình có mấy xe ô tô,tám,600856,1
857,có bao nhiêu cái ghế trong hình,năm,600857,1
858,trong hình có bao nhiêu con ngựa,bốn,600858,1
859,trong hình có bao nhiêu con mèo,tám,600859,1
860,có bao nhiêu điện thoại,hai,600860,1
861,số lượng con ngựa vằn là bao nhiêu,một,600861,1
862,có bao nhiêu điện thoại trong hình,tám,600862,1
863,có bao nhiêu cái bàn,sáu,600863,1
864,số lượng cái cây là bao nhiêu,bảy,600864,1
865,hình có mấy chai,sáu,600865,1
866,hình có mấy con cừu,ba,600866,1
867,số lượng xe ô tô là bao nhiêu,tám,600867,1
868,trong hình có bao nhiêu máy tính xách tay,sáu,600868,1
869,trong hình có bao nhiêu con mèo,bảy,600869,1
870,số lượng cái cây là bao nhiêu,bảy,600870,1
871,số lượng con chim là bao nhiêu,hai,600871,1
872,số lượng quyển sách là bao nhiêu,hai,600872,1
873,có bao nhiêu máy tính xách tay,tám,600873,1
874,có bao nhiêu cái ghế,sáu,600874,1
875,hình có mấy điện thoại,tám,600875,1
876,trong hình có bao nhiêu quyển sách,bốn,600876,1
877,trong hình có bao nhiêu người,một,600877,1
878,hình có mấy máy tính xách tay,ba,600878,1
879,số lượng người là bao nhiêu,năm,600879,1
880,hình có mấy con bò,bảy,600880,1
881,có bao nhiêu cái ghế trong hình,bảy,600881,1
882,số lượng chai là bao nhiêu,năm,600882,1
883,có bao nhiêu người trong hình,năm,600883,1
884,số lượng cái ghế là bao nhiêu,một,600884,1
885,có bao nhiêu cái cây trong hình,bảy,600885,1
886,số lượng quyển sách là bao nhiêu,tám,600886,1
887,có bao nhiêu cái cây trong hình,hai,600887,1
888,có bao nhiêu máy tính xách tay trong hình,năm,600888,1
889,trong hình có bao nhiêu người,năm,600889,1
890,trong hình có bao nhiêu cốc,tám,600890,1
891,số lượng cái bàn là bao nhiêu,một,600891,1
892,có bao nhiêu quyển sách,sáu,600892,1
893,hình có mấy cái ghế,bốn,600893,1
894,có bao nhiêu con ngựa,sáu,600894,1
895,hình có mấy tòa nhà,ba,600895,1
896,có bao nhiêu con mèo,một,600896,1
897,trong hình có bao nhiêu cốc,bốn,600897,1
898,số lượng con cừu là bao nhiêu,năm,600898,1
899,có bao nhiêu con voi,bảy,600899,1
900,số lượng xe ô tô là bao nhiêu,một,600900,1
901,số lượng con chim là bao nhiêu,bảy,600901,1
902,trong hình có bao nhiêu con ngựa vằn,bảy,600902,1
903,có bao nhiêu cốc trong hình,một,600903,1
904,có bao nhiêu con gà,ba,600904,1
905,có bao nhiêu con hươu cao cổ trong hình,năm,600905,1
906,có bao nhiêu cốc,bảy,600906,1
907,trong hình có bao nhiêu cốc,ba,600907,1
908,trong hình có bao nhiêu con chim,sáu,600908,1
909,trong hình có bao nhiêu cốc,bốn,600909,1
910,hình có mấy con ngựa,năm,600910,1
911,hình có mấy người,hai,600911,1
912,có bao nhiêu con chim trong hình,sáu,600912,1
913,trong hình có bao nhiêu xe ô tô,bốn,600913,1
914,trong hình có bao nhiêu điện thoại,bảy,600914,1
915,có bao nhiêu cái ghế trong hình,sáu,600915,1
916,trong hình có bao nhiêu quyển sách,hai,600916,1
917,có bao nhiêu cái ghế,bốn,600917,1
918,có bao nhiêu điện thoại,sáu,600918,1
919,hình có mấy con ngựa vằn,ba,600919,1
920,hình có mấy cái ghế,ba,600920,1
921,có bao nhiêu điện thoại,một,600921,1
922,hình có mấy tòa nhà,sáu,600922,1
923,có bao nhiêu cái bàn trong hình,hai,600923,1
924,có bao nhiêu con chim trong hình,bảy,600924,1
925,có bao nhiêu máy tính xách tay trong hình,hai,600925,1
926,hình có mấy con voi,ba,600926,1
927,có bao nhiêu con bò,năm,600927,1
928,có bao nhiêu điện thoại trong hình,bảy,600928,1
929,số lượng cốc là bao nhiêu,năm,600929,1
930,có bao nhiêu con ngựa vằn,sáu,600930,1
931,hình có mấy điện thoại,năm,600931,1
932,trong hình có bao nhiêu con chim,tám,600932,1
933,có bao nhiêu con cừu trong hình,bảy,600933,1
934,hình có mấy con cừu,tám,600934,1
935,trong hình có bao nhiêu con hươu cao cổ,bốn,600935,1
936,số lượng con hươu cao cổ là bao nhiêu,ba,600936,1
937,hình có mấy cái ghế,một,600937,1
938,trong hình có bao nhiêu con gà,một,600938,1
939,hình có mấy cái cây,hai,600939,1
940,hình có mấy con bò,một,600940,1
941,hình có mấy cái ghế,ba,600941,1
942,có bao nhiêu người,tám,600942,1
943,có bao nhiêu tòa nhà,một,600943,1
944,số lượng cốc là bao nhiêu,tám,600944,1
945,số lượng con mèo là bao nhiêu,bốn,600945,1
946,hình có mấy điện thoại,tám,600946,1
947,hình có mấy máy tính xách tay,bốn,600947,1
948,có bao nhiêu con ngựa trong hình,bảy,600948,1
949,hình có mấy con gà,bốn,600949,1
950,hình có mấy con hươu cao cổ,hai,600950,1
951,có bao nhiêu quyển sách trong hình,một,600951,1
952,có bao nhiêu con mèo trong hình,bảy,600952,1
953,trong hình có bao nhiêu chai,một,600953,1
954,hình có mấy người,hai,600954,1
955,có bao nhiêu máy tính xách tay,hai,600955,1
956,số lượng cốc là bao nhiêu,bốn,600956,1
957,trong hình có bao nhiêu quyển sách,một,600957,1
958,số lượng cái bàn là bao nhiêu,hai,600958,1
959,hình có mấy cái bàn,tám,600959,1
960,số lượng máy tính xách tay là bao nhiêu,ba,600960,1
961,số lượng điện thoại là bao nhiêu,sáu,600961,1
962,có bao nhiêu con bò,sáu,600962,1
963,có bao nhiêu điện thoại,bốn,600963,1
964,trong hình có bao nhiêu người,tám,600964,1
965,hình có mấy cái ghế,một,600965,1
966,có bao nhiêu máy tính xách tay,sáu,600966,1
967,có bao nhiêu con chim trong hình,năm,600967,1
968,có bao nhiêu con chim trong hình,bảy,600968,1
969,hình có mấy cái bàn,một,600969,1
970,có bao nhiêu cái cây trong hình,hai,600970,1
971,số lượng người là bao nhiêu,ba,600971,1
972,trong hình có bao nhiêu quyển sách,sáu,600972,1
973,có bao nhiêu cốc,hai,600973,1
974,trong hình có bao nhiêu quyển sách,bốn,600974,1
975,hình có mấy máy tính xách tay,bảy,600975,1
976,có bao nhiêu con mèo trong hình,sáu,600976,1
977,có bao nhiêu người,bảy,600977,1
978,hình có mấy tòa nhà,ba,600978,1
979,có bao nhiêu cái cây,sáu,600979,1
980,có bao nhiêu tòa nhà trong hình,năm,600980,1
981,số lượng người là bao nhiêu,tám,600981,1
982,hình có mấy xe ô tô,ba,600982,1
983,hình có mấy cái ghế,ba,600983,1
984,có bao nhiêu xe ô tô,năm,600984,1
985,hình có mấy con hươu cao cổ,hai,600985,1
986,trong hình có bao nhiêu người,ba,600986,1
987,số lượng điện thoại là bao nhiêu,sáu,600987,1
988,có bao nhiêu điện thoại trong hình,sáu,600988,1
989,có bao nhiêu cái bàn,sáu,600989,1
990,trong hình có bao nhiêu con cừu,sáu,600990,1
991,có bao nhiêu con chim trong hình,sáu,600991,1
992,có bao nhiêu con hươu cao cổ,bốn,600992,1
993,hình có mấy cốc,ba,600993,1
994,số lượng cái bàn là bao nhiêu,bảy,600994,1
995,có bao nhiêu con mèo,sáu,600995,1
996,trong hình có bao nhiêu xe ô tô,hai,600996,1
997,có bao nhiêu xe ô tô trong hình,hai,600997,1
998,có bao nhiêu xe ô tô,năm,600998,1
999,trong hình có bao nhiêu điện thoại,ba,600999,1
1000,hình có mấy máy tính xách tay,bảy,601000,1
1001,hình có mấy chai,một,601001,1
1002,hình có mấy cái cây,tám,601002,1
1003,số lượng cốc là bao nhiêu,hai,601003,1
1004,trong hình có bao nhiêu cái cây,hai,601004,1
1005,trong hình có bao nhiêu tòa nhà,bốn,601005,1
1006,có bao nhiêu máy tính xách tay trong hình,một,601006,1
1007,có bao nhiêu con mèo trong hình,một,601007,1
1008,trong hình có bao nhiêu con chó,hai,601008,1
1009,trong hình có bao nhiêu con cừu,một,601009,1
1010,có bao nhiêu cái ghế trong hình,bốn,601010,1
1011,hình có mấy chai,bốn,601011,1
1012,trong hình có bao nhiêu cái bàn,ba,601012,1
1013,có bao nhiêu con chim trong hình,bốn,601013,1
1014,số lượng con chim là bao nhiêu,một,601014,1
1015,số lượng con chim là bao nhiêu,năm,601015,1
1016,có bao nhiêu chai trong hình,bảy,601016,1
1017,có bao nhiêu con ngựa,một,601017,1
1018,có bao nhiêu tòa nhà,một,601018,1
1019,trong hình có bao nhiêu chai,một,601019,1
1020,trong hình có bao nhiêu cái cây,bảy,601020,1
1021,số lượng cái bàn là bao nhiêu,tám,601021,1
1022,trong hình có bao nhiêu con chim,một,601022,1
1023,số lượng con ngựa là bao nhiêu,bảy,601023,1
1024,có bao nhiêu quyển sách,ba,601024,1
1025,số lượng máy tính xách tay là bao nhiêu,ba,601025,1
1026,có bao nhiêu quyển sách trong hình,tám,601026,1
1027,có bao nhiêu con hươu cao cổ trong hình,năm,601027,1
1028,có bao nhiêu máy tính xách tay,tám,601028,1
1029,số lượng con ngựa vằn là bao nhiêu,sáu,601029,1
1030,số lượng quyển sách là bao nhiêu,ba,601030,1
1031,hình có mấy cái bàn,năm,601031,1
1032,trong hình có bao nhiêu con chim,hai,601032,1
1033,có bao nhiêu máy tính xách tay,năm,601033,1
1034,số lượng con chim là bao nhiêu,sáu,601034,1
1035,trong hình có bao nhiêu con mèo,một,601035,1
1036,có bao nhiêu máy tính xách tay,bốn,601036,1
1037,số lượng cái cây là bao nhiêu,bốn,601037,1
1038,có bao nhiêu cái bàn trong hình,một,601038,1
1039,có bao nhiêu con gà,hai,601039,1
1040,số lượng cái ghế là bao nhiêu,tám,601040,1
1041,số lượng con ngựa vằn là bao nhiêu,năm,601041,1
1042,có bao nhiêu chai trong hình,tám,601042,1
1043,trong hình có bao nhiêu quyển sách,năm,601043,1
1044,trong hình có bao nhiêu quyển sách,ba,601044,1
1045,hình có mấy máy tính xách tay,bốn,601045,1
1046,số lượng chai là bao nhiêu,tám,601046,1
1047,có bao nhiêu quyển sách trong hình,ba,601047,1
1048,trong hình có bao nhiêu cái bàn,một,601048,1
1049,trong hình có bao nhiêu máy tính xách tay,bốn,601049,1
1050,trong hình có bao nhiêu con ngựa vằn,năm,601050,1
1051,có bao nhiêu cốc trong hình,bảy,601051,1
1052,số lượng tòa nhà là bao nhiêu,một,601052,1
1053,số lượng chai là bao nhiêu,bốn,601053,1
1054,trong hình có bao nhiêu cái bàn,tám,601054,1
1055,trong hình có bao nhiêu con bò,năm,601055,1
1056,trong hình có bao nhiêu xe ô tô,bốn,601056,1
1057,hình có mấy cái bàn,ba,601057,1
1058,có bao nhiêu xe ô tô trong hình,bảy,601058,1
1059,trong hình có bao nhiêu con chim,năm,601059,1
1060,số lượng điện thoại là bao nhiêu,năm,601060,1
1061,trong hình có bao nhiêu chai,sáu,601061,1
1062,hình có mấy quyển sách,bảy,601062,1
1063,trong hình có bao nhiêu tòa nhà,tám,601063,1
1064,có bao nhiêu con chim trong hình,tám,601064,1
1065,có bao nhiêu con voi trong hình,bốn,601065,1
1066,số lượng cốc là bao nhiêu,bảy,601066,1
1067,trong hình có bao nhiêu con mèo,ba,601067,1
1068,số lượng con bò là bao nhiêu,bảy,601068,1
1069,trong hình có bao nhiêu điện thoại,bảy,601069,1
1070,số lượng máy tính xách tay là bao nhiêu,hai,601070,1
1071,số lượng con cừu là bao nhiêu,một,601071,1
1072,hình có mấy người,năm,601072,1
1073,hình có mấy xe ô tô,hai,601073,1
1074,hình có mấy chai,bốn,601074,1
1075,hình có mấy quyển sách,sáu,601075,1
1076,số lượng con ngựa là bao nhiêu,sáu,601076,1
1077,hình có mấy người,hai,601077,1
1078,số lượng con ngựa vằn là bao nhiêu,bốn,601078,1
1079,hình có mấy con bò,tám,601079,1
1080,có bao nhiêu cái bàn,hai,601080,1
1081,số lượng tòa nhà là bao nhiêu,một,601081,1
